Market,StockExchange,StockExchangeLink,Year,ESGGuidance,GRI,SASB,TCFD,IIRC,CDSB,CDP,Name,Country,Number of listed companies,Domestic market capitalization,SSE Partner Exchange,Has annual sustainability report,ESG reporting required as a listing rule,Has written guidance on ESG reporting,Offers ESG related training,Market covered by sustainability-related index,Has sustainability bond listing segment,Has SME listing platform,Women on boards mandatory minimum rule,Additional information,Organizational model of stock exchange,Regulatory bodies,Regulatory model,About the stock exchange,PdfPath_1,PdfPath_2,PdfPath_3,PdfPath_4,PdfPath_5,PdfPath_6,PdfPath_7,PdfPath_8
Egypt,Egyptian Exchange,https://sseinitiative.org/stock-exchange/egx/,2016,Model Guidance for Reporting on ESG Performance and SDGs,⬤,⬤,⬤,⬤,⬤,⬤,Egyptian Exchange,Egypt,242,"35,111 million US$",Yes,"Yes


In 2016 EGX, in collaboration with its Sustainability Advisory Committee (SAC) introduced the first annual sustainability report in accordance with the Global Reporting Initiative (GRI) G4 Standards (source).

The latest Sustainability report is from 2021 in Arabic","Yes


In 2021, FRA issued resolutions requiring companies listed on the Egyptian Stock Exchange to submit environmental, social, and governance disclosure reports related to sustainability (ESG standards) source
Also, companies whose issued capital or net ownership rights are not less than 500 million Egyptian pounds and that are listed on the Egyptian Stock Exchange are required to complete disclosures related to the financial effects of climate change in accordance with TCFD source","Yes


Published Model Guidance for Reporting on ESG Performance & SDGs in 2016.","Yes


19 Sept 2018: the Egyptian Exchange (EGX) provided a training session for Federation of European and Asian Stock Exchanges (FEAS) members at EGX Smart Village premises on the importance of sustainability in stock markets, and how stock markets can raise the awareness of stakeholders about sustainability, and the importance of ESG reporting.
June 2022: EGX provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)
In 2022, EGX Sustainability Foundation and DCarbon Company, the regional representative of Global Reporting Initiative (GRI), agreed on a comprehensive training program for listed companies, on ESG & TCFD reporting, in accordance with international best practices in this regard. (source)
In 2023, CFA Society Egypt launched the Certificate in ESG Investing, under the patronage of the Financial Regulatory Authority and the Egyptian Exchange (source)","Yes


SP/EGX ESG Index (launched March 2010). More details here.",No,"Yes


NILEX, since 2007.","Yes


In 2021, the Egyptian FRA imposes that the EGX-listed and regulated companies should raise the percentage of women representation on their boards to 25% or have at least two females as members of the board. More info here.","EGX launched the EGX Sustainability Foundation in 2017.
https://www.egx.com.eg/en/EGX-And-Sustainability.aspx
https://www.egx.com.eg/en/EGX-Sustainability-Affiliations.aspx",Governmental not for profit.,Egyptian Financial Supervisory Authority.,"Limited Exchange Self-Regulatory Organization (SRO) Model

The Egyptian Exchange has a basic level of regulatory authority when it comes to listing and market surveillance. However, the Egyptian Financial Supervisory Authority is the overall regulator for the stock exchange.","Location: Cairo, Egypt

The Egyptian Exchange is one of the oldest stock markets established in the Middle East. The Egyptian Exchange traces its origins to 1883 when the Alexandria Stock Exchange was established, followed by the Cairo Stock Exchange in 1903. (Source).",,,,,,,,
Estonia,Nasdaq Tallinn,https://sseinitiative.org/stock-exchange/nasdaq-tallinn/,2019,ESG Reporting Guide 2.0: A Support Resource for Companies,⬤,⬤,⬤,⬤,,⬤,Nasdaq Tallinn,Estonia,31,"5,727 million US$",Yes,Yes,No,"Yes


Released in March 2017 across Nasdaq’s Nordic and Baltic Exchanges.","Yes


Nasdaq Nordic and Baltic exchanges run a pilot program on ESG reporting.",No,"Yes


Riga/Tallinn/Vilnius, Nasdaq Baltic Market, June 18, 2018 – Nasdaq.",No,No,"Sustainability Section on Website.
The Nasdaq speaks, moderates, sponsors, or otherwise exhibits at key industry events related to sustainability. (Source).
Nasdaq is a member of the United Nations Global Compact and Chair of the WFE Sustainability Working Group. (Source).
Board Member, US Global Compact US Network; Advisory Board Member, SASB.","Listed company for profit; demutualized in:

NASDAQ – 2000
OMX – 1993",Estonian Financial Supervisory Authority.,"Limited Exchange Self-Regulatory Organization (SRO) Model

Regulatory practices in regards to this exchange vary slightly from country to country. However, the exchanges operated by Nasdaq in each country appear to have basic regulatory oversight. However, the ultimate regulatory authority for each market lies with the regulatory bodies listed.","HQ Location: New York, New York

Nasdaq (Nasdaq: NDAQ) is a leading global provider of trading, clearing, exchange technology, listing, information and public company services. Through its diverse portfolio of solutions, Nasdaq enables customers to plan, optimize and execute their business vision with confidence, using proven technologies that provide transparency and insight for navigating today’s global capital markets. As the creator of the world’s first electronic stock market, its technology powers more than 90 marketplaces in 50 countries, and 1 in 10 of the world’s securities transactions. Nasdaq is home to approximately 3,900 total listings with a market value of approximately $13 trillion. To learn more, click here.",,,,,,,,
Finland,Nasdaq Helsinki,https://sseinitiative.org/stock-exchange/nasdaq-helsinki/,2019,ESG Reporting Guide 2.0: A Support Resource for Companies,⬤,⬤,⬤,⬤,,⬤,Nasdaq Helsinki,Finland,135,"359,912 million US$",Yes,Yes,No,"Yes


Released in March 2017 across Nasdaq’s Nordic and Baltic Exchanges.","Yes


Nasdaq Nordic and Baltic exchanges run a pilot program on ESG reporting.","Yes


Nasdaq offers 70 sustainability-related indexes (not all actively traded), including:
OMX GES Ethical indexes:
OMX GES Ethical Nordic Index
OMX GES Ethical Norway Index
OMX GES Ethical Sweden Index
OMX GES Ethical Denmark Index
OMX GES Ethical Finland Index
OMX GES OMXS30 Ethical Index
OMX GES Sustainability Nordic and OMX GES.
Sustainability Sweden:
OMX GES Sustainability Nordic Index
OMX GES Sustainability Sweden Index
OMX GES Sustainability Sweden Ethical Index","Yes


Nasdaq Stockholm and Nasdaq Helsinki launched a sustainable bond list in 2015 on the main market and another, the First North Sustainable Bond List, on the First North market in the beginning of 2018.","Yes


Nasdaq First North, since 2006.",No,"Sustainability Section on Website.
The Nasdaq speaks, moderates, sponsors, or otherwise exhibits at key industry events related to sustainability. (Source).
Nasdaq and CERES’ Investor Network on Climate Risk (INCR) is working with other partners to create an investor-centric sustainability reporting proposal for public companies and stock exchanges. (Source).
Nasdaq is a member of the United Nations Global Compact and Chair of the WFE Sustainability Working Group. (Source)
Board Member, US Global Compact US Network; Advisory Board Member, SASB.","Listed company for profit; demutualized in:

NASDAQ – 2000
OMX – 1993.",Finnish Financial Supervisory Authority.,"Limited Exchange Self-Regulatory Organization (SRO) Model

Regulatory practices in regards to this exchange vary slightly from country to country. However, the exchanges operated by NASDAQ OMX in each country appear to have basic regulatory oversight. However, the ultimate regulatory authority for each market lies with the regulatory bodies listed.","HQ Location: New York, New York.

Nasdaq (Nasdaq: NDAQ) is a leading global provider of trading, clearing, exchange technology, listing, information and public company services. Through its diverse portfolio of solutions, Nasdaq enables customers to plan, optimize and execute their business vision with confidence, using proven technologies that provide transparency and insight for navigating today’s global capital markets. As the creator of the world’s first electronic stock market, its technology powers more than 90 marketplaces in 50 countries, and 1 in 10 of the world’s securities transactions. Nasdaq is home to approximately 3,900 total listings with a market value of approximately $13 trillion. To learn more, click here.",,,,,,,,
France,Euronext Paris,https://sseinitiative.org/stock-exchange/euronext-paris/,2022*,ESG Reporting Guide - Target 1.5°C,⬤,⬤,⬤,⬤,⬤,⬤,Euronext Paris,France,795,"4,580,000 million US$",Yes,"Yes


There is a chapter in the annual report dedicated to sustainability activities, find all reports here.","Yes


The European directive on non-financial information reporting (NFRD) has been implemented into the French legal environment (source).
Moreover,
The Grenelle II Act of 2010 makes CSR reporting mandatory as part of annual reporting for all large companies doing business in France.
Euronext Paris supports and implements ESMA’s and National Competent Authorities stringent rules with regards to governance among its community of listed companies.","Yes


ESG Reporting Guide – Target 1.5°C","Yes


Through the Euronext Academy, see more details here.","Yes


See the list of indices on the Euronext website here. ESG/ISR indices fall under the tab “theme indices”. This list is automatically updated.","Yes


Euronext ESG Bonds is a community of ESG bond issuers where green, sustainability, social, blue and sustainability-linked bonds listed on all Euronext locations are consolidated onto one highly visible area. Details of the securities here.","Yes


Euronext Growth, Euronext Access, Euronext Access+. More information here.","Yes


There is a 40% mandatory minimum rule for women on boards.
Source: Assemblée Nationale. (2011). Dossiers. Société : représentation des femmes dans les conseils d’administration et de surveillance. Details of the rule: In cases where the total board members are less than 9, there should not be more than a 2 seat difference between one gender.","Euronext supports climate friendly innovations by financing Cleantech SME’s benefitting from major Euronext initiatives:

TechShare: 27 Cleantech have followed the program on how to leverage capital markets.
Tech40 Index: 10% of this increasingly important index is made up of Cleantech SME’s.
Morningstar: the program fully covers the scope of Cleantech SME issuers (55).",Listed company for profit; demutualized in 2000.,"ACPR.
The Ministry of Economics and Finance.
Autorité des Marchés Financiers (AMF).
European Union (ESMA).","Government (Statutory) Model

The Markets in Financial Instruments Directive (MiFID) classifies Euronext’s European cash markets as a regulated market. As such, the real-time monitoring performed by Euronext’s cash market operations and technical support is formally enforced, and our trading rules and procedures are approved by our four regulators. This regulatory and organizational system gives Euronext the power to efficiently manage crisis situations and extraordinary circumstances. Some of the markets organized by Euronext are exchange regulated, which means they are subject to a body of rules laid down by the market operator, Euronext. They are not regulated markets as defined by the Markets in Financial Instruments Directive (MiFID). These structured, exchange regulated markets offer simplified access to financial markets and streamlined listing requirements for companies from every sector of the economy, while ensuring compliance with rules on investor disclosure and the control of financial information.  (Source).","Location of the listed holding:

Paris, France As a market operator, Euronext Paris, which is the market of reference for the Euronext shares, manages the Euronext regulated markets in France. In accordance with Article L.421-10 of the French Monetary and Financial Code, Euronext Paris adopts rules for each of these markets to ensure fair and orderly trading and efficient order execution. The requirements for market access and admission of financial instruments to trading are also covered by these rules, which are approved by the Autorité des Marchés Financiers (“AMF”) and published on the market operator’s website. Euronext Paris markets are subject to the provisions of Article L.421-4 et seq. of the French Monetary and Financial Code, which authorises the French Minister of Economy to confer and revoke regulated market status upon proposal of the AMF, which has to consult with the Autorité de Contrôle Prudentiel et de Résolution (“ACPR”). Euronext is the leading pan-European exchange in the Eurozone, spanning Belgium, France, Ireland, Norway, the Netherlands, Portugal, the UK and Ireland. Created in 2000, it unites markets which date back to the start of the 17th century. It is the primary exchange in the Euro zone with nearly 1,500 listed issuers worth more than €4.5 trillion in market capitalization as of end May 2019, an unmatched blue chip franchise consisting of 20+ issuers in the Morningstar® Eurozone 50 Index℠ and a strong diverse domestic and international client base.",,,,,,,,
Germany,Deutsche Börse,https://sseinitiative.org/stock-exchange/deutsche-borse/,2013,Communicating Sustainability: Seven recommendations for issuers,⬤,⬤,,⬤,,⬤,Deutsche Börse (German Exchange),Germany,447,"2,503,045.83 million US$",Yes,Yes,No,"Yes


Guidance – Communicating Sustainability, 7 recommendations for issuers (2013).","Yes


Training will be offered through an ESG workshop in June 2018.","Yes


STOXX Low Carbon Index Family
ÖkoDAX
DAXglobal Alternative Energy
DAXglobal Sarasin Sustainability Germany
STOXX ESG Leaders Index family
STOXX Sustainability Index family
Photovoltaik Global 30
Credit Suisse Global Alternative Energy","Yes


Via the Frankfurt Stock Exchange.","Yes


Deutsche Börse Venture Network, since 2015.","Yes


There is a 30% mandatory minimum rule for women on boards.
Source: Deloitte. (2019). Data driven change: Women in the boardroom a global perspective. Detail of the rule: the quota applies to non
executives board seats
Gesetzes zur gleichberechtigten Teilhabe von Frauen
German Corporate Governance Code 2019 recommends following the gender quota in the composition of the supervisory board (p.7)","Launched the Hub for Sustainable Finance along with the German Council for Sustainable Development in late 2017.
Launched Accelerating Sustainable Finance Initiative in May 2017 along with major stakeholders from the Frankfurt/Main financial centre. Participants signed the Frankfurt Declaration, a letter of intent about the creation of sustainable infrastructures in the financial sector.",Listed company for profit; demutualized in 2000.,"European Securities and Markets Authority.
Federal Financial Supervisory Authority.
Trading Surveillance Office.","Government

Deutsche Börse AG is regulated by various bodies. The Trading Surveillance Office is an independent supervisory body that supervises and monitors the market. However, a great deal of authority falls upon the government. Both the Exchange Supervisory Authority and the Federal Financial Supervisory Authority are governmental regulatory bodies that monitor for proper conduct and cases of insider trading, fraud, price manipulation and violations of the Exchange Act.","Location: Frankfurt, Germany

As one of the world’s leading exchange organizations, Deutsche Börse Group provides investors, financial institutions and companies access to global capital markets. Our business covers the entire process chain from securities and derivatives trading, clearing, settlement and custody, through to market data and the development and operation of electronic trading systems.Our reliable systems and our integrity as a neutral provider form the basis of our business philosophy. We operate to the most exacting standards to create products and services to meet the needs of international financial markets. As a listed company we work to create value for our customers and our shareholders. (Source).",,,,,,,,
Ghana,Ghana Stock Exchange,https://sseinitiative.org/stock-exchange/ghana-stock-exchange/,2022,ESG Disclosures Guidance Manual,⬤,⬤,⬤,,,⬤,Ghana Stock Exchange,Ghana,37,"3,055.5 million US$",Yes,"No



Plans in place to report in 2023.","No


Some of GSE listed companies have ESG reports but it is not as a mandatory requirement. More information and additional notes in the GSE’s Listing Rules. GSE encourages issuers to report on ESG topics.","Yes



Reporting requirements are in the GSE ESG Disclosure Guidance Manual","Yes



Capacity building programmes are organized in collaboration with GRI and IFC. (source)",No,No,"Yes


Ghana Alternative Market (GAX) is the market segment of the GSE dedicated to SMEs. It was established in 2013 and counts with six companies listed on it. This market was created with incentives to assist SMEs as well as start up businesses to raise capital to expansion and growth.",No,,Not for Profit,Securities and Exchange Commission Ghana,Strong exchange SRO,"Established thirty-one years ago, the Ghana Stock Exchange has played a significant role in the country’s economic growth. It was established with the mission to be a relevant, significant, efficient, and effective tool for capital mobilization and wealth creation. Just as other markets in Africa, the stock market has emerged as a major provider of investment capital inflow in Ghana. It operates three namely, the equity market which is the main Market, the Ghana Fixed Income Market (GFIM) which is the Bonds Market and the Ghana Alternative Market (GAX) which is the Market for Small and Medium businesses. For more information visit www.gse.com.gh",,,,,,,,
Greece,Athens Exchange Group,https://sseinitiative.org/stock-exchange/athex/,2022*,ESG Reporting Guide,⬤,⬤,⬤,⬤,,⬤,Athens Exchange Group,Greece,164,"82,740 million US$",Yes,"Yes


The sustainability report is included in the annual report. See all reports here.

Annual report 2022","Yes


The Non-Financial Reporting Directive (NFRD 2014/95/EU) sets the requirements for the disclosure of non-financial and diversity information by large companies.

Furthermore, the Greek Law no. 4548/2018 on non-financial reporting and the Circular no. 62784/06-06-2017 of the Ministry of Economy and Development, that have been developed according to the provisions of the NFRD, require large companies to disclose specific information regarding the way they operate and manage environmental and social challenges. (ESG Reporting Guide 2022)","Yes


ATHEX – ESG Reporting Guide","Yes


Offers ESG executive training courses.
Organizes events to raise awareness of the ecosystem.
Participates in annual CSR conferences.
See also videos on ESG topics here","Yes


ATHEX ESG Index","Yes


ATHEX BONDS GREENet","Yes


ATHEX Alternative Market (EN.A), since 2008.","Yes


Greece adopted a quota of 25% in 2020. Source

See also the European network of legal experts in gender equality and non-discrimination flash report.",ESG corner on their website.,Private company for profit; demutualized in 1999.,Hellenic Capital Market Commission.,"Government (Statutory)

The Hellenic Capital Market Commission is the primary regulator for the capital markets of Greece. The commission not only oversees the capital markets but also ensures compliance by companies listed on the Athens Stock Exchange with capital market laws. Due to the regulatory power of the Hellenic Capital Market Commission, the Athens Stock Exchange has limited self-regulatory power.","Location: The ATHENS STOCK EXCHANGE (ATHEX) is located in Athens, 110 Athinon Ave. GR10442 Athens – GREECE. https://www.athexgroup.gr/sup 

The Athens Exchange Group provides support to the Greek Capital Market and participates also in the Energy Market since 2019. The Group offers financing tools and solutions to companies, expands investor choice by providing a safe, stable and easy environment in full alignment with international practices and the European regulatory framework. THE HELLENIC STOCK EXCHANGE – ATHENS STOCK EXCHANGE (ATHEX) is the parent company of the Group that supports the operation of the Hellenic Capital Market. The parent company and its 100% subsidiaries ATHEXClear and ATHEX CSD operate the organized equities and derivatives markets, the alternative market, perform clearing, settlement of trades and registration services, provide integrated IT solutions in the Greek capital market, and promote the development of the capital market concept in Greece.

Ownership (Any owner with more than 4% of the exchange)	THE GOLDMAN SACHS GROUP INC 5.34% 

SMALLCAP WORLD FUND 5.09%",,,,,,,,
Hungary,Budapest Stock Exchange,https://sseinitiative.org/stock-exchange/bse_hungary/,2021,ESG Reporting Guide,⬤,⬤,⬤,⬤,⬤,⬤,Budapest Stock Exchange,Hungary,50,"34,287.57 million US$",Yes,No,No,"Yes


At the end of March 2021, the BSE published its first ESG Reporting Guide for Issuers","Yes


BSE offers ESG training in cooperation with Budapest Institute of Banking (owned by the stock exchange). More details here.",No,No,"Yes


BSE Xtend market
BSE Xbond",No,,"Non-listed, for profit. 81,35% owned by the MNB (the Central Bank of Hungary).",MNB as the Central Bank of Hungary.,Government (Statutory) Model. Supervisory functions are separated and independent from ownership functions within the Central Bank.,"Location: Budapest, Hungary

The Budapest Stock Exchange Ltd. (BSE) creates a platform for Hungarian companies to grow and prosper. Our mission includes providing small and medium sized firms with expertise and financial support needed to join the stock exchange, as well as improving the financial culture in our society. BSE has a considerable history: it was originally established in 1864 and re-established after the fall of communism in 1990. Today we are following our 2016-2020 strategy to become more attractive for investors and companies alike. Our blue chip companies represent well the Hungarian economy, with the total market capitalization of listed firms standing at approximately US $33.8 billion. We are set to further develop the capital market ecosystem where issuers are creating exciting opportunities for domestic and international investors, both retail and institutional.
We recently introduced Xtend as a special market for medium sized companies to join the exchange. Furthermore, BSE has a joint programme together with ELITE, a company of the London Stock Exchange Group, which gives mentorship to up and coming Hungarian companies to learn about the ways they can grow using diverse financing opportunities. BSE is powered by Xetra, one of the fastest and most reliable trading systems in the world. (Source).",,,,,,,,
Iceland,Nasdaq Iceland,https://sseinitiative.org/stock-exchange/nasdaq-iceland/,2019,ESG Reporting Guide 2.0: A Support Resource for Companies (Also in Icelandic),⬤,⬤,⬤,⬤,,⬤,Nasdaq Iceland,Iceland,21,"18,632 million US$",Yes,Yes,No,"Yes


Released in March 2017 across Nasdaq’s Nordic and Baltic Exchanges.","Yes


Nasdaq Nordic and Baltic exchanges run a pilot program on ESG reporting.",No,"No


While not every Nasdaq office has a sustainability bond listing segment, Nasdaq Stockholm launched a new list for sustainable corporate bonds in 2015.","Yes


Nasdaq First North, since 2006.",No,"Nasdaq Progress Report 2014, United Nations Global Compact The Nasdaq speaks, moderates, sponsors, or otherwise exhibits at key industry events related to sustainability. (Source).
Nasdaq and CERES’ Investor Network on Climate Risk (INCR) is working with other partners to create an investor-centric sustainability reporting proposal for public companies and stock exchanges. (Source).
Nasdaq had a three-part article series in 2013, called Doing Well by Doing Good. (Source).
Nasdaq is a member of the United Nations Global Compact and Chair of the WFE Sustainability Working Group. (Source).
Board Member, US Global Compact US Network; Advisory Board Member, SASB.","Listed company for profit; demutualized in:
NASDAQ – 2000
OMX – 1993.",Icelandic Financial Supervisory Authority.,"Limited Exchange Self-Regulatory Organization (SRO) Model

Regulatory practices with regards to this exchange vary slightly from country to country. However, the exchanges operated by Nasdaq in each country appear to have basic regulatory oversight. However, the ultimate regulatory authority for each market lies with the regulatory bodies listed.","HQ Location: New York, New York

Nasdaq (Nasdaq: NDAQ) is a leading provider of trading, exchange technology, information and public company services across six continents. Through its diverse portfolio of solutions, Nasdaq enables customers to plan, optimize and execute their business vision with confidence, using proven technologies that provide transparency and insight for navigating today’s global capital markets. As the creator of the world’s first electronic stock market, its technology powers more than 70 marketplaces in 50 countries, and 1 in 10 of the world’s securities transactions. Nasdaq is home to more than 3,500 listed companies with a market value of over $8.8 trillion and more than 10,000 corporate clients. To learn more, click here or here.",,,,,,,,
India,Bombay Stock Exchange,https://sseinitiative.org/stock-exchange/bseindia/,2018,BSE Guidance Document on ESG Disclosures,⬤,⬤,,⬤,,⬤,BSE India Ltd.,India,4695,"1,116,275 million US$",Yes,"Yes


2018-19 Annual Report
2017-18 Annual Report","Yes


Dependent on size of company. (Source)","Yes


BSE (2018) Guidance Document on ESG Disclosures
BSE signed Memorandum of Understanding with GRI for creating awareness amongst companies and investors regarding ESG Disclosures
BSE – Carbon Disclosure Project (CDP) initiative. BSE signed Memorandum of Understanding with CDP India to jointly carry out activities for creating awareness about filing sustainability data / Environment, Social and Governance (ESG) data with CDP. CDP India is actively in touch with Top 200 (BSE-200 constituents) companies to encourage them to report non financial data. The data received from CDP will be used for the calculations of S&P BSE Carbonex.
Business Responsibility Report is mandatory for to 500 listed companies as per Market Capitalisation. BSE being a listed company and one the Top 500 Companies will be filing Business Responsibility Reporting every quarter.","Yes


BSE is organising workshops for corporates and investors with Global as well as Indian partners to provide traing in the area of ESG.","Yes


S&P BSE CARBONEX,
S&P BSE 100 ESG
S&P BSE GREENEX","Yes


The Bombay Stock Exchange (BSE)’s international arm, India International Exchange (India INX), announced in 2019 its exclusive green listing and trading platform called Global Securities Market (GSM). GSM Green will serve as a platform for fundraising and trading green, social, and sustainable bonds exclusively. Source","Yes


BSE SME, since 2012","Yes


There is a mandatory minimum rule of at least 1 woman on boards.
Source: Indian Parliament. (2013). Section 149(1)(b) of Companies act 2013.",BSE is a member of WFE Sustainability Working Group,Demutualized for profit; demutualized in 2005,Securities and Exchange Board of India (SEBI),"Strong Exchange Self-Regulatory Organization (SRO) Model

SEBI has the ability to install laws and regulations that dictate the operations of the stock markets in India. However, the Bombay Stock Exchange still possesses significant regulatory powers. For instance, the exchange can install its own listing requirements, such as the requirement for company’s of a certain size to disclose a CSR report, and it possesses its own market and member regulation responsibilities.","Location: Mumbai, India

Established in 1875, BSE Ltd. (formerly known as Bombay Stock Exchange Ltd.), is Asia’s first Stock Exchange and one of India’s leading exchange groups. Over the past 143 years, BSE has facilitated the growth of the Indian corporate sector by providing it an efficient capital-raising platform. Popularly known as BSE, the bourse was established as “The Native Share & Stock Brokers’ Association” in 1875. BSE is a corporatized and demutualised entity, with a broad shareholder-base which includes two leading global exchanges, Deutsche Bourse and Singapore Exchange as strategic partners. BSE provides an efficient and transparent market for trading in equity, debt instruments, derivatives, mutual funds. It also has a platform for trading in equities of small-and-medium enterprises (SME). More than 5000 companies are listed on BSE making it world’s No. 1 exchange in terms of listed members. The companies listed on BSE Ltd command a total market capitalization of USD 2.37 Trillion as of December 2017. (Source)
Largest shareholder is Deutsche Börse AG",,,,,,,,
India,National Stock Exchange of India,https://sseinitiative.org/stock-exchange/nse-india/,2022,NSE-SES Integrated Guide to Business Responsibility & Sustainability Report (BRSR),⬤,⬤,⬤,⬤,,⬤,National Stock Exchange of India (NSE),India,2013,"3,279,016.24 million US$",Yes,"Yes


The sustainability report is integrated into the annual report since 2011. The annual reports can be found here.","Yes


See the CIRCULAR CIR/CFD/CMD/10/2015 issued on November 04, 2015 on the  Format for Business Responsibility Report (BRR) by the Securities and Exchange Board in India (SEBI).

In 2021, SEBI updated the listing rules by introducing new reporting requirements on  ESG parameters called  the Business   Responsibility   and   Sustainability   Report   (BRSR). Source","Yes


NSE in association with Stakeholders Empowerment Services (SES) have carried out a study to assess and compare the disclosure practices reported in Business Responsibility Report (BRR) by Top 100 listed companies. The study has analysed BRR as well as Sustainability Reports of the sample companies by capturing data which is either straight forward quantitative or which can be quantified from BRR as well as Sustainability Reports of the sample companies. Report can be found here.
NSE in July 2020 published an analysis of ESG practices across 50 companies listed on National Stock Exchange of India Limited, spread across 12 different sectors.  This assessment of ESG practices gives a broader picture of India’s ESG footprint. The study is intended to act as a catalyst and inspire companies to follow better ESG practices. Additionally, it will provide investors with a tool to benchmark companies. Report on ESG practices of companies listed on National Stock Exchange of India Limited
NSE undertakes a lot of capacity building initiatives in the area of corporate governance. Various reports and links to the roundtable discussions have been hosted on the NSE webpage.
Business Responsibly and Sustainability Reporting (BRSR) sector specific guidance:
NSE in association with Stakeholders Empowerment Services (SES) has published a comprehensive guide that explains BRSR parameters along with guidance on how to measure and disclose for every Essential as well as Leadership Indicator.  The Guide has been specifically tailored for 38 Sub Sectors – as per SASB Standards to cover sector specific sustainability disclosure guidance. Every BRSR Indicator has been mapped to 5 Global frameworks viz. GRI, SDG, TCFD, CDP & SASB. The report can be found here.","Yes


In 2021, NSE provided a series of webinars on ESG topics: “ESG: An antidote to adversity“","Yes


S&P ESG India Index.
NIFTY100 ESG
NIFTY100 Enhanced ESG
NIFTY100 ESG Sector Leaders Index

See the list of thematic indices here","Yes


NIFTY India Sovereign Green Bond Jan 2033 Index
NIFTY India Sovereign Green Bond Jan 2028 Index","Yes


NSE India Emerge, since 2012.","Yes



Further, Indian Capital Market Regulator  – Securities and Exchange Board of India, has mandated top 1000 listed entities to have at least one independent woman director on their Boards. This has been introduced in phased manner where by April 01, 2019 top 500 companies required to comply with this requirement and by April 01, 2020 it was extended to top 1000 listed entities (by market capitalization as at the end of the immediate previous financial year). Given the regulatory push high compliance has been observed in this area. From the submissions made by companies listed on NSE mainboard, for quarter ended December 2021 we observe that 98% of them have women representation on their Board. More information on: Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 [Last amended on April 25, 2022]","NSE India has put immense focus on issues around Inclusion – Gender Equality & Women on Boards. NSE India has 34% women employees on its role. They celebrate International Women’s Day every year to encourage women inclusion and appreciation in Financial Services.
NSE has been publishing Integrated report since past 3 years. Its report is also aligned to the recommendations made in the publication titled “How exchanges can embed sustainability within their operations” published by the United Nations Sustainable Stock Exchanges (SSE) initiative in collaboration with World Federation of Exchanges (WFE). The Global Reporting Initiative (GRI) standards and Sustainability Accounting Standards Board (SASB) standards have been referenced for devising Key Performance Indicators (KPIs) for material topics. Additionally, contributions to the United Nations Sustainable Development Goals (SDGs) have been mapped throughout its report.",Demutualized for profit.,"Indian Capital Markets are regulated and monitored by the Ministry of Finance, the Securities and Exchange Board of India and the Reserve Bank of India.

Securities and Exchange Board of India (SEBI).
Reserve Bank of India (RBI)

The Securities and Exchange Board of India (SEBI) is the regulatory authority established under the SEBI Act 1992 and is the principal regulator for Stock Exchanges in India. SEBI’s primary functions include protecting investor interests, promoting and regulating the Indian securities markets. All financial intermediaries permitted by their respective regulators to participate in the Indian securities markets are governed by SEBI regulations, whether domestic or foreign. Foreign Portfolio Investors are required to register with DDPs in order to participate in the Indian securities markets. More information on: www.sebi.gov.in The Reserve Bank of India (RBI) is governed by the Reserve Bank of India Act, 1934. The RBI is responsible for implementing monetary and credit policies, issuing currency notes, being banker to the government, regulator of the banking system, manager of foreign exchange, and regulator of payment & settlement systems while continuously working towards the development of Indian financial markets. The RBI regulates financial markets and systems through different legislations. It regulates the foreign exchange markets through the Foreign Exchange Management Act, 1999. More information on: www.rbi.gov.in NSE is governed by SECC Regulations issued by SEBI, SEBI Act, various regulations/ circulars/ guidelines etc. issued there under, RBI directives on forex trading, interest rate futures trading, debt securities trading, Prevention of Money Laundering Act and several other statutes that govern any employer/ corporate body in the country. NSE is a front line regulator with a focus on disciplined market development, market integrity and investor protection.",Limited Exchange Self-Regulatory Organization (SRO) Model,"Location: Mumbai, India

Incorporated in 1992, NSE was recognised as a stock exchange by Securities and Exchange Board of India (SEBI) in April 1993, commenced operations in 1994 and has been consistently ranked as the largest stock exchange in India in terms of total and average daily turnover for equity shares since 1995 (based on SEBI data). It is the largest derivatives exchange globally in terms of the number of contracts traded.
NSE is head-quartered in Exchange Plaza, Mumbai, India, with client-facing regional offices in Mumbai, Kolkata, Delhi, Chennai and Ahmedabad. NSE has 25 locations  in India where business is undertaken by the company, including offices in Indore, Kanpur, Pune, Jaipur, Cochin, Hyderabad, Bangalore, Patna, Lucknow, Vadodara, Raipur, Jammu, Shimla, Panjim, Ranchi, Guwahati, Chandigarh, Bhubaneshwar and Dehradun.",,,,,,,,
